approach,task,accuracy,f1_macro,f1_weighted
Baseline,Department,0.27768860353130015,0.3273854971930763,0.21076597930017477
Baseline,Seniority,0.4510433386837881,0.4039247041263642,0.4191046467277769
Class Balancing,Department,0.2841091492776886,0.3376921573298182,0.2028559900273174
Class Balancing,Seniority,0.4510433386837881,0.4039247041263642,0.4191046467277769
Oversampling,Department,0.27608346709470305,0.3437454637256253,0.20050363634214813
Oversampling,Seniority,0.463884430176565,0.41427934064203065,0.41220606186315245
Combined,Department,0.2825040128410915,0.3725526505140611,0.2099634213553401
Combined,Seniority,0.463884430176565,0.41427934064203065,0.41220606186315245
Two-Stage,Department,0.680577849117175,0.5340461557465038,0.6779186326160775
